chain,token,target_usd,http,ok,bzz_out,in_usd,out_usd,error,request_id
ethereum,NATIVE,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,NATIVE,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,NATIVE,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,NATIVE,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDC,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDC,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDC,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDC,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDT,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDT,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDT,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
ethereum,USDT,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,NATIVE,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,NATIVE,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,NATIVE,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,NATIVE,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,USDC,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,USDC,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,USDC,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,USDC,100,200,true,1000.0,95.753282,92.675906,,0x78d4c0dc2fbd56dadfc585d3772503692ece0ff21801659502517b1dcdb27f2a
base,USDT,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,USDT,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,USDT,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
base,USDT,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,NATIVE,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,NATIVE,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,NATIVE,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,NATIVE,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,USDC,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,USDC,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,USDC,10,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,USDC,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,USDT,0.1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,USDT,1,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
gnosis,USDT,10,200,true,100.0,9.341340,9.267591,,0xb2dcd7d45397e9745cdd34ef746bc5e9c1bf9822a33da27861acc9d13bee23f9
gnosis,USDT,100,400,false,,,,NO_SWAP_ROUTES_FOUND no routes found,
